Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"8,67361737988404E-19","3,46944695195361E-18","0,0424178643084235",0,0,0,"0,865194133670196","0,00837033971793733","7,20060644277653E-19","-3,60001828337178E-19","0,00204420899315309","-3,62674433105854E-18","0,00866559275098874",0,0,0,0,0,0,package://quadriped_urdf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/base_link.STL,,Body-1;Rouli-1;Rouli-2;Rouli-4;Rouli-3,repere de base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLA,"-0,0269253957823772","-1,73472347597681E-18","0,0100000000000001",0,0,0,"0,0109452431127404","5,03196139245204E-07","-2,2416594600187E-22","2,10720130044593E-22","2,87751254725242E-06","2,91795589958918E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadriped_urdf/meshes/FLA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FLA.STL,,None-1,Origin_joint_FLA,Axis_joint_FLA,joint_FLA,continuous,"0,03","-0,055","0,005","-1,5708","0,0092604","-3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLB,"-2,08166817117217E-17","-0,05","0,00614054420881095",0,0,0,"0,027251106428109","2,28689712470885E-05","-2,85873619698326E-21","-4,2351647362715E-22","2,49120517681613E-06","-1,21926422290316E-20","2,49059913167695E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/FLB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FLB.STL,,Thigh-1,Origin_joint_FLB,Axis_joint_FLB,joint_FLB,continuous,"-0,038859",0,"0,01","-1,5708","0,94955","1,5708",FLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLC,"2,77555756156289E-17","-0,0549087751989375","0,00618126895462276",0,0,0,"0,0285799693145388","2,88211030062495E-05","1,31004729513086E-20","1,00192251695485E-22","2,08850288359585E-06","-3,65613830748438E-21","3,04332730679364E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/FLC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FLC.STL,,Shank-1,Origin_joint_FLC,Axis_joint_FLC,joint_FLC,continuous,0,"-0,1","0,0099593",0,0,"0,61893",FLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRA,"-0,0269253957823772","-8,67361737988404E-19","0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","-3,14328632770151E-23","9,40983241926787E-23","2,87751254725242E-06","1,65943422838136E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadriped_urdf/meshes/FRA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FRA.STL,,None-2,Origin_joint_FRA,Axis_joint_FRA,joint_FRA,continuous,"-0,03","-0,055","0,005","1,5708","0,022451",0,base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRB,"1,38777878078145E-17","-0,05","-0,00499496037090968",0,0,0,"0,0272511064281089","2,28689712470884E-05","4,76456032830544E-21","2,11758236813575E-22","2,49120517681613E-06","1,11570121021152E-20","2,49059913167694E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/FRB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FRB.STL,,Thigh-2,Origin_joint_FRB,Axis_joint_FRB,joint_FRB,continuous,"-0,040005",0,"0,01","-1,5708","0,9223","-1,5708",FRA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRC,0,"-0,0549087751989375","-0,00499496037090973",0,0,0,"0,0285799693145388","2,88211030062496E-05","-1,34995875968654E-20","-7,61006163548785E-22","2,08850288359585E-06","-1,01147645302984E-20","3,04332730679364E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/FRC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/FRC.STL,,Shank-2,Origin_joint_FRC,Axis_joint_FRC,joint_FRC,continuous,0,"-0,1","-0,01",0,0,"0,63392",FRB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLA,"-0,0269253957823772","8,67361737988404E-19","0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","1,82393325067943E-22","-1,25428718015424E-21","2,87751254725242E-06","-1,69665031772832E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadriped_urdf/meshes/BLA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BLA.STL,,None-4,Origin_joint_BLA,Axis_joint_BLA,joint_BLA,continuous,"0,03","0,055","0,005","1,5708","-0,0079223","3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLB,0,"-0,05","0,00499937237932946",0,0,0,"0,0272511064281089","2,28689712470884E-05","1,37642853928824E-21","-9,26442286059391E-22","2,49120517681613E-06","6,14264322881878E-21","2,49059913167694E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/BLB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BLB.STL,,Thigh-4,Origin_joint_BLB,Axis_joint_BLB,joint_BLB,continuous,"-0,040001",0,"0,01","-1,5708","-0,9058","1,5708",BLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLC,"-5,55111512312578E-17","-0,054908775198938","0,00499937237932949",0,0,0,"0,0285799693145388","2,88211030062496E-05","-2,08747299383882E-20","4,58051264201239E-22","2,08850288359585E-06","-3,22765875018191E-21","3,04332730679365E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/BLC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BLC.STL,,Shank-4,Origin_joint_BLC,Axis_joint_BLC,joint_BLC,continuous,0,"-0,1","0,01",0,0,"-0,65676",BLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BRA,"-0,0269253957823772","-7,80625564189563E-18","0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","-6,82837595662524E-22","1,38390764569447E-21","2,87751254725242E-06","8,42921942666241E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadriped_urdf/meshes/BRA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BRA.STL,,None-3,Origin_joint_BRA,Axis_joint_BRA,joint_BRA,continuous,"-0,03","0,055","0,005","-1,5708","0,0046431",0,base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BRB,"1,38777878078145E-17","-0,05","-0,00499978442237492",0,0,0,"0,0272511064281089","2,28689712470884E-05","3,49401090742399E-21",0,"2,49120517681612E-06","-1,01627410058265E-20","2,49059913167694E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/BRB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BRB.STL,,Thigh-3,Origin_joint_BRB,Axis_joint_BRB,joint_BRB,continuous,"-0,04",0,"0,01","-1,5708","-0,89897","-1,5708",BRA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BRC,"-2,77555756156289E-17","-0,0549087751989385","-0,00499978442237495",0,0,0,"0,0285799693145388","2,88211030062496E-05","-3,7874945887578E-20","-3,06263621797758E-22","2,08850288359585E-06","-1,49636972810843E-20","3,04332730679364E-05",0,0,0,0,0,0,package://quadriped_urdf/meshes/BRC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadriped_urdf/meshes/BRC.STL,,Shank-3,Origin_joint_BRC,Axis_joint_BRC,joint_BRC,continuous,0,"-0,1","-0,01",0,0,"-0,68889",BRB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
