Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"8,6736E-19","3,4694E-18","0,042418",0,0,0,"0,86519","0,0083703","7,9001E-19","-3,6575E-19","0,0020442","-3,6823E-18","0,0086656",0,0,0,0,0,0,package://quadruped_urdf/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/base_link.STL,,Body-1;Rouli-1;Rouli-2;Rouli-4;Rouli-3,Repere de base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLA,"-0,026925","-1,7347E-18","0,01",0,0,0,"0,010945","5,032E-07","-2,2417E-22","2,1072E-22","2,8775E-06","2,918E-23","3,0936E-06",0,0,0,0,0,0,package://quadruped_urdf/meshes/FLA.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FLA.STL,,None-1,Origin_joint_FLA,Axis_joint_FLA,joint_FLA,revolute,"0,03","-0,055","0,005","-1,5708","0,0092604","-3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLB,"-2,0817E-17","-0,05","0,0061405",0,0,0,"0,027251","2,2869E-05","-3,8116E-21","-4,4999E-22","2,4912E-06","-1,2214E-20","2,4906E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/FLB.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FLB.STL,,Thigh-1,Origin_joint_FLB,Axis_joint_FLB,joint_FLB,revolute,"-0,038859",0,"0,01","-1,5708","0,94955","1,5708",FLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLC,"2,77555756156289E-17","-0,0549087751989375","0,00618126895462276",0,0,0,"0,0285799693145388","2,88211030062495E-05","1,31004729513086E-20","1,00192251695485E-22","2,08850288359585E-06","-3,65613830748438E-21","3,04332730679364E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/FLC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FLC.STL,,Shank-1,Origin_joint_FLC,Axis_joint_FLC,joint_FLC,revolute,0,"-0,1","0,0099593",0,0,"0,61893",FLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRA,"-0,0269253957823772",0,"0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","-3,88774887899923E-23","9,86921140643361E-23","2,87751254725242E-06","1,66376389752808E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadruped_urdf/meshes/FRA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FRA.STL,,None-2,Origin_joint_FRA,Axis_joint_FRA,joint_FRA,revolute,"-0,03","-0,055","0,005","1,5708","0,022451",0,base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRB,"1,3878E-17","-0,05","-0,004995",0,0,0,"0,027251","2,2869E-05","4,7646E-21","2,1176E-22","2,4912E-06","1,1157E-20","2,4906E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/FRB.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FRB.STL,,Thigh-2,Origin_joint_FRB,Axis_joint_FRB,joint_FRB,revolute,"-0,040005",0,"0,01","-1,5708","0,9223","-1,5708",FRA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRC,0,"-0,0549087751989375","-0,00499496037090973",0,0,0,"0,0285799693145388","2,88211030062496E-05","-1,35525271560688E-20","-7,55215899260914E-22","2,08850288359585E-06","-1,02206436487052E-20","3,04332730679364E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/FRC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/FRC.STL,,Shank-2,Origin_joint_FRC,Axis_joint_FRC,joint_FRC,revolute,0,"-0,1","-0,01",0,0,"0,63392",FRB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLA,"-0,0269253957823772","8,67361737988404E-19","0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","1,81979734761666E-22","-1,24782483443128E-21","2,87751254725242E-06","-1,69924567701513E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadruped_urdf/meshes/BLA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/BLA.STL,,None-4,Origin_joint_BLA,Axis_joint_BLA,joint_BLA,revolute,"0,03","0,055","0,005","1,5708","-0,0079223","3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLB,0,"-0,05","0,00499937237932946",0,0,0,"0,0272511064281089","2,28689712470884E-05","1,37642853928824E-21","-9,26442286059391E-22","2,49120517681613E-06","6,14264322881878E-21","2,49059913167694E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/BLB.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/BLB.STL,,Thigh-4,Origin_joint_BLB,Axis_joint_BLB,joint_BLB,revolute,"-0,040001",0,"0,01","-1,5708","-0,9058","1,5708",BLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLC,"-5,55111512312578E-17","-0,054908775198938","0,00499937237932949",0,0,0,"0,0285799693145388","2,88211030062496E-05","-2,08747299383882E-20","4,58051264201239E-22","2,08850288359585E-06","-3,22765875018191E-21","3,04332730679365E-05",0,0,0,0,0,0,package://quadruped_urdf/meshes/BLC.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadruped_urdf/meshes/BLC.STL,,Shank-4,Origin_joint_BLC,Axis_joint_BLC,joint_BLC,revolute,0,"-0,1","0,01",0,0,"-0,65676",BLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
